Mes;Magnitud;Tipo Estación;Zona;Estación;Concentraciones medias mensuales
Jul 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Plaza de Castilla;18
Jul 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Suroeste;Plaza Elíptica;
Ago 2010;Partículas en suspensión < 2,5µm;Suburbana;Noroeste;Casa de Campo;12
Ago 2010;Partículas en suspensión < 2,5µm;Urbana de Fondo;Interior M-30;Méndez Álvaro;13
Ago 2010;Partículas en suspensión < 2,5µm;Urbana de Fondo;Noreste;Sanchinarro;
Ago 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Castellana;11
Ago 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Cuatro Caminos;17
Ago 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;18
Ago 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Plaza de Castilla;17
Ago 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Suroeste;Plaza Elíptica;
Sep 2010;Partículas en suspensión < 2,5µm;Suburbana;Noroeste;Casa de Campo;10
Sep 2010;Partículas en suspensión < 2,5µm;Urbana de Fondo;Interior M-30;Méndez Álvaro;13
Sep 2010;Partículas en suspensión < 2,5µm;Urbana de Fondo;Noreste;Sanchinarro;
Sep 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Castellana;11
Sep 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Cuatro Caminos;11
Sep 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;15
Sep 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Plaza de Castilla;13
Sep 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Suroeste;Plaza Elíptica;
Oct 2010;Partículas en suspensión < 2,5µm;Suburbana;Noroeste;Casa de Campo;10
Oct 2010;Partículas en suspensión < 2,5µm;Urbana de Fondo;Interior M-30;Méndez Álvaro;14
Oct 2010;Partículas en suspensión < 2,5µm;Urbana de Fondo;Noreste;Sanchinarro;
Oct 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Castellana;11
Oct 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Cuatro Caminos;14
Oct 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;17
Oct 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Plaza de Castilla;14
Oct 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Suroeste;Plaza Elíptica;
Nov 2010;Partículas en suspensión < 2,5µm;Suburbana;Noroeste;Casa de Campo;8
Nov 2010;Partículas en suspensión < 2,5µm;Urbana de Fondo;Interior M-30;Méndez Álvaro;11
Nov 2010;Partículas en suspensión < 2,5µm;Urbana de Fondo;Noreste;Sanchinarro;
Nov 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Castellana;9
Nov 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Cuatro Caminos;12
Nov 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;14
Nov 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Plaza de Castilla;13
Nov 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Suroeste;Plaza Elíptica;
Dic 2010;Partículas en suspensión < 2,5µm;Suburbana;Noroeste;Casa de Campo;10
Dic 2010;Partículas en suspensión < 2,5µm;Urbana de Fondo;Interior M-30;Méndez Álvaro;12
Dic 2010;Partículas en suspensión < 2,5µm;Urbana de Fondo;Noreste;Sanchinarro;
Dic 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Castellana;7
Dic 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Cuatro Caminos;13
Dic 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;15
Dic 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Plaza de Castilla;13
Dic 2010;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Suroeste;Plaza Elíptica;
Ene 2011;Partículas en suspensión < 2,5µm;Suburbana;Noroeste;Casa de Campo;10
Ene 2011;Partículas en suspensión < 2,5µm;Urbana de Fondo;Interior M-30;Méndez Álvaro;14
Ene 2011;Partículas en suspensión < 2,5µm;Urbana de Fondo;Noreste;Sanchinarro;
Ene 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Castellana;8
Ene 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Cuatro Caminos;13
Ene 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;15
Ene 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Plaza de Castilla;13
Ene 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Suroeste;Plaza Elíptica;
Feb 2011;Partículas en suspensión < 2,5µm;Suburbana;Noroeste;Casa de Campo;10
Feb 2011;Partículas en suspensión < 2,5µm;Urbana de Fondo;Interior M-30;Méndez Álvaro;15
Feb 2011;Partículas en suspensión < 2,5µm;Urbana de Fondo;Noreste;Sanchinarro;
Feb 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Castellana;10
Feb 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Cuatro Caminos;15
Feb 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;15
Feb 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Plaza de Castilla;14
Feb 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Suroeste;Plaza Elíptica;
Mar 2011;Partículas en suspensión < 2,5µm;Suburbana;Noroeste;Casa de Campo;8
Mar 2011;Partículas en suspensión < 2,5µm;Urbana de Fondo;Interior M-30;Méndez Álvaro;11
Mar 2011;Partículas en suspensión < 2,5µm;Urbana de Fondo;Noreste;Sanchinarro;
Mar 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Castellana;8
Mar 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Cuatro Caminos;11
Mar 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;13
Mar 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Plaza de Castilla;10
Mar 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Suroeste;Plaza Elíptica;
Abr 2011;Partículas en suspensión < 2,5µm;Suburbana;Noroeste;Casa de Campo;12
Abr 2011;Partículas en suspensión < 2,5µm;Urbana de Fondo;Interior M-30;Méndez Álvaro;13
Abr 2011;Partículas en suspensión < 2,5µm;Urbana de Fondo;Noreste;Sanchinarro;
Abr 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Castellana;13
Abr 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Cuatro Caminos;14
Abr 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;15
Abr 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Plaza de Castilla;13
Abr 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Suroeste;Plaza Elíptica;
May 2011;Partículas en suspensión < 2,5µm;Suburbana;Noroeste;Casa de Campo;9
May 2011;Partículas en suspensión < 2,5µm;Urbana de Fondo;Interior M-30;Méndez Álvaro;11
May 2011;Partículas en suspensión < 2,5µm;Urbana de Fondo;Noreste;Sanchinarro;
May 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Castellana;11
May 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Cuatro Caminos;13
May 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;13
May 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Plaza de Castilla;10
May 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Suroeste;Plaza Elíptica;
Jun 2011;Partículas en suspensión < 2,5µm;Suburbana;Noroeste;Casa de Campo;10
Jun 2011;Partículas en suspensión < 2,5µm;Urbana de Fondo;Interior M-30;Méndez Álvaro;12
Jun 2011;Partículas en suspensión < 2,5µm;Urbana de Fondo;Noreste;Sanchinarro;
Jun 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Castellana;9
Jun 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Cuatro Caminos;16
Jun 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;14
Jun 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Plaza de Castilla;12
Jun 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Suroeste;Plaza Elíptica;
Jul 2011;Partículas en suspensión < 2,5µm;Suburbana;Noroeste;Casa de Campo;9
Jul 2011;Partículas en suspensión < 2,5µm;Urbana de Fondo;Interior M-30;Méndez Álvaro;10
Jul 2011;Partículas en suspensión < 2,5µm;Urbana de Fondo;Noreste;Sanchinarro;
Jul 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Castellana;9
Jul 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Cuatro Caminos;15
Jul 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;13
Jul 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Plaza de Castilla;11
Jul 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Suroeste;Plaza Elíptica;
Ago 2011;Partículas en suspensión < 2,5µm;Suburbana;Noroeste;Casa de Campo;9
Ago 2011;Partículas en suspensión < 2,5µm;Urbana de Fondo;Interior M-30;Méndez Álvaro;12
Ago 2011;Partículas en suspensión < 2,5µm;Urbana de Fondo;Noreste;Sanchinarro;
Ago 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Castellana;8
Ago 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Cuatro Caminos;15
Ago 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;15
Ago 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Plaza de Castilla;12
Ago 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Suroeste;Plaza Elíptica;
Sep 2011;Partículas en suspensión < 2,5µm;Suburbana;Noroeste;Casa de Campo;10
Sep 2011;Partículas en suspensión < 2,5µm;Urbana de Fondo;Interior M-30;Méndez Álvaro;13
Sep 2011;Partículas en suspensión < 2,5µm;Urbana de Fondo;Noreste;Sanchinarro;
Sep 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Castellana;12
Sep 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Cuatro Caminos;14
Sep 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;16
Sep 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Plaza de Castilla;11
Sep 2011;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Suroeste;Plaza Elíptica;
Oct 2011;Partículas en suspensión < 2,5µm;Suburbana;Noroeste;Casa de Campo;11
