Mes;Magnitud;Tipo Estación;Zona;Estación;Concentraciones medias mensuales
Ene 2010;Partículas en suspensión < 10µm;Suburbana;Noroeste;Casa de Campo;12
Ene 2010;Partículas en suspensión < 10µm;Urbana de Fondo;Interior M-30;Méndez Álvaro;20
Ene 2010;Partículas en suspensión < 10µm;Urbana de Fondo;Noreste;Sanchinarro;17
Ene 2010;Partículas en suspensión < 10µm;Urbana de Fondo;Noreste;Tres Olivos;19
Ene 2010;Partículas en suspensión < 10µm;Urbana de Fondo;Noreste;Urbanización Embajada;20
Ene 2010;Partículas en suspensión < 10µm;Urbana de Fondo;Sureste;Vallecas;14
Ene 2010;Partículas en suspensión < 10µm;Urbana de Fondo;Suroeste;Farolillo;14
Ene 2010;Partículas en suspensión < 10µm;Urbana de Tráfico;Interior M-30;Castellana;
Ene 2010;Partículas en suspensión < 10µm;Urbana de Tráfico;Interior M-30;Cuatro Caminos;21
Ene 2010;Partículas en suspensión < 10µm;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;15
Ene 2010;Partículas en suspensión < 10µm;Urbana de Tráfico;Interior M-30;Plaza de Castilla;
Ene 2010;Partículas en suspensión < 10µm;Urbana de Tráfico;Sureste;Moratalaz;18
Ene 2010;Partículas en suspensión < 10µm;Urbana de Tráfico;Suroeste;Plaza Elíptica;
Feb 2010;Partículas en suspensión < 10µm;Suburbana;Noroeste;Casa de Campo;12
Feb 2010;Partículas en suspensión < 10µm;Urbana de Fondo;Interior M-30;Méndez Álvaro;18
Feb 2010;Partículas en suspensión < 10µm;Urbana de Fondo;Noreste;Sanchinarro;14
Feb 2010;Partículas en suspensión < 10µm;Urbana de Fondo;Noreste;Tres Olivos;14
Feb 2010;Partículas en suspensión < 10µm;Urbana de Fondo;Noreste;Urbanización Embajada;16
Feb 2010;Partículas en suspensión < 10µm;Urbana de Fondo;Sureste;Vallecas;13
Feb 2010;Partículas en suspensión < 10µm;Urbana de Fondo;Suroeste;Farolillo;14
Feb 2010;Partículas en suspensión < 10µm;Urbana de Tráfico;Interior M-30;Castellana;
Feb 2010;Partículas en suspensión < 10µm;Urbana de Tráfico;Interior M-30;Cuatro Caminos;20
Feb 2010;Partículas en suspensión < 10µm;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;16
Feb 2010;Partículas en suspensión < 10µm;Urbana de Tráfico;Interior M-30;Plaza de Castilla;15
Feb 2010;Partículas en suspensión < 10µm;Urbana de Tráfico;Sureste;Moratalaz;15
Feb 2010;Partículas en suspensión < 10µm;Urbana de Tráfico;Suroeste;Plaza Elíptica;
Mar 2010;Partículas en suspensión < 10µm;Suburbana;Noroeste;Casa de Campo;21
Mar 2010;Partículas en suspensión < 10µm;Urbana de Fondo;Interior M-30;Méndez Álvaro;28
Mar 2010;Partículas en suspensión < 10µm;Urbana de Fondo;Noreste;Sanchinarro;23
Mar 2010;Partículas en suspensión < 10µm;Urbana de Fondo;Noreste;Tres Olivos;21
Mar 2010;Partículas en suspensión < 10µm;Urbana de Fondo;Noreste;Urbanización Embajada;25
