Mes;Magnitud;Tipo Estación;Zona;Estación;Concentraciones medias mensuales
Jul 2010;Dióxido de azufre;Urbana de Fondo;Suroeste;Farolillo;6
Jul 2010;Dióxido de azufre;Urbana de Fondo;Suroeste;Villaverde;8
Jul 2010;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Cuatro Caminos;8
Jul 2010;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;5
Jul 2010;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Plaza de España;9
Jul 2010;Dióxido de azufre;Urbana de Tráfico;Sureste;Moratalaz;4
Ago 2010;Dióxido de azufre;Suburbana;Noroeste;Casa de Campo;9
Ago 2010;Dióxido de azufre;Urbana de Fondo;Interior M-30;Plaza del Carmen;8
Ago 2010;Dióxido de azufre;Urbana de Fondo;Noreste;Sanchinarro;7
Ago 2010;Dióxido de azufre;Urbana de Fondo;Sureste;Vallecas;6
Ago 2010;Dióxido de azufre;Urbana de Fondo;Suroeste;Farolillo;6
Ago 2010;Dióxido de azufre;Urbana de Fondo;Suroeste;Villaverde;8
Ago 2010;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Cuatro Caminos;9
Ago 2010;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;6
Ago 2010;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Plaza de España;7
Ago 2010;Dióxido de azufre;Urbana de Tráfico;Sureste;Moratalaz;4
Sep 2010;Dióxido de azufre;Suburbana;Noroeste;Casa de Campo;9
Sep 2010;Dióxido de azufre;Urbana de Fondo;Interior M-30;Plaza del Carmen;8
Sep 2010;Dióxido de azufre;Urbana de Fondo;Noreste;Sanchinarro;9
Sep 2010;Dióxido de azufre;Urbana de Fondo;Sureste;Vallecas;7
Sep 2010;Dióxido de azufre;Urbana de Fondo;Suroeste;Farolillo;6
Sep 2010;Dióxido de azufre;Urbana de Fondo;Suroeste;Villaverde;
Sep 2010;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Cuatro Caminos;9
Sep 2010;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;6
Sep 2010;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Plaza de España;8
Sep 2010;Dióxido de azufre;Urbana de Tráfico;Sureste;Moratalaz;5
Oct 2010;Dióxido de azufre;Suburbana;Noroeste;Casa de Campo;10
Oct 2010;Dióxido de azufre;Urbana de Fondo;Interior M-30;Plaza del Carmen;10
Oct 2010;Dióxido de azufre;Urbana de Fondo;Noreste;Sanchinarro;10
Oct 2010;Dióxido de azufre;Urbana de Fondo;Sureste;Vallecas;8
Oct 2010;Dióxido de azufre;Urbana de Fondo;Suroeste;Farolillo;8
Oct 2010;Dióxido de azufre;Urbana de Fondo;Suroeste;Villaverde;
Oct 2010;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Cuatro Caminos;11
Oct 2010;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;9
Oct 2010;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Plaza de España;10
Oct 2010;Dióxido de azufre;Urbana de Tráfico;Sureste;Moratalaz;9
Nov 2010;Dióxido de azufre;Suburbana;Noroeste;Casa de Campo;9
Nov 2010;Dióxido de azufre;Urbana de Fondo;Interior M-30;Plaza del Carmen;11
Nov 2010;Dióxido de azufre;Urbana de Fondo;Noreste;Sanchinarro;10
Nov 2010;Dióxido de azufre;Urbana de Fondo;Sureste;Vallecas;9
Nov 2010;Dióxido de azufre;Urbana de Fondo;Suroeste;Farolillo;8
Nov 2010;Dióxido de azufre;Urbana de Fondo;Suroeste;Villaverde;12
Nov 2010;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Cuatro Caminos;12
Nov 2010;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;11
Nov 2010;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Plaza de España;8
Nov 2010;Dióxido de azufre;Urbana de Tráfico;Sureste;Moratalaz;13
Dic 2010;Dióxido de azufre;Suburbana;Noroeste;Casa de Campo;10
Dic 2010;Dióxido de azufre;Urbana de Fondo;Interior M-30;Plaza del Carmen;13
Dic 2010;Dióxido de azufre;Urbana de Fondo;Noreste;Sanchinarro;12
Dic 2010;Dióxido de azufre;Urbana de Fondo;Sureste;Vallecas;9
Dic 2010;Dióxido de azufre;Urbana de Fondo;Suroeste;Farolillo;10
Dic 2010;Dióxido de azufre;Urbana de Fondo;Suroeste;Villaverde;11
Dic 2010;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Cuatro Caminos;15
Dic 2010;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;14
Dic 2010;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Plaza de España;9
Dic 2010;Dióxido de azufre;Urbana de Tráfico;Sureste;Moratalaz;17
Ene 2011;Dióxido de azufre;Suburbana;Noroeste;Casa de Campo;9
Ene 2011;Dióxido de azufre;Urbana de Fondo;Interior M-30;Plaza del Carmen;14
Ene 2011;Dióxido de azufre;Urbana de Fondo;Noreste;Sanchinarro;13
Ene 2011;Dióxido de azufre;Urbana de Fondo;Sureste;Vallecas;9
Ene 2011;Dióxido de azufre;Urbana de Fondo;Suroeste;Farolillo;9
Ene 2011;Dióxido de azufre;Urbana de Fondo;Suroeste;Villaverde;11
Ene 2011;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Cuatro Caminos;13
Ene 2011;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;14
