_id,Mes,Magnitud,Tipo_Estacion,Estacion,Zona,Concentraciones_medias_mensuales,Muertes_hombre,Muertes_mujer,Muertes_totales,Total_Concentraciones_medias_mensuales,Indice_Calidad_Aire_CAQI,Indice_Calidad_Aire_Europeo
6742081cd13b2ab2728559ea,01/12/2011,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,63,197,181,378,58.8,Bueno,Razonablemente bueno
6742081cd13b2ab2728559f4,01/12/2011,Dióxido de nitrógeno,Urbana de Fondo,Farolillo,Sur,50,42,33,75,62.333333333333336,Bueno,Razonablemente bueno
6742081cd13b2ab2728559ff,01/01/2012,Dióxido de nitrógeno,Suburbana,Juan Carlos I,Norte,39,12,12,24,56.833333333333336,Bueno,Razonablemente bueno
6742081cd13b2ab272855a02,01/01/2012,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,69,208,244,452,60.9,Bueno,Razonablemente bueno
6742081cd13b2ab272855a0c,01/01/2012,Dióxido de nitrógeno,Urbana de Fondo,Farolillo,Sur,56,51,41,92,70,Bueno,Razonablemente bueno
6742081cd13b2ab272855a1a,01/02/2012,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,55,186,212,398,52.2,Bueno,Razonablemente bueno
6742081cd13b2ab272855a24,01/02/2012,Dióxido de nitrógeno,Urbana de Fondo,Farolillo,Sur,48,46,36,82,58.333333333333336,Bueno,Razonablemente bueno
6742081cd13b2ab272855a2f,01/03/2012,Dióxido de nitrógeno,Suburbana,Juan Carlos I,Norte,25,11,10,21,39.833333333333336,Muy Bueno,Bueno
6742081cd13b2ab272855a3a,01/03/2012,Dióxido de nitrógeno,Urbana de Fondo,Ensanche de Vallecas,Este,37,17,16,33,41.666666666666664,Muy Bueno,Razonablemente bueno
6742081cd13b2ab272855a3c,01/03/2012,Dióxido de nitrógeno,Urbana de Fondo,Farolillo,Sur,42,46,34,80,51.333333333333336,Bueno,Razonablemente bueno
6742081cd13b2ab272855a47,01/04/2012,Dióxido de nitrógeno,Suburbana,Juan Carlos I,Norte,15,9,9,18,23.666666666666668,Muy Bueno,Bueno
6742081cd13b2ab272855a4a,01/04/2012,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,25,168,180,348,30.8,Muy Bueno,Bueno
6742081cd13b2ab272855a52,01/04/2012,Dióxido de nitrógeno,Urbana de Fondo,Ensanche de Vallecas,Este,18,15,14,29,24.666666666666668,Muy Bueno,Bueno
6742081cd13b2ab272855a54,01/04/2012,Dióxido de nitrógeno,Urbana de Fondo,Farolillo,Sur,21,41,31,72,27.333333333333332,Muy Bueno,Bueno
6742081cd13b2ab272855a5f,01/05/2012,Dióxido de nitrógeno,Suburbana,Juan Carlos I,Norte,18,10,8,18,28.333333333333332,Muy Bueno,Bueno
6742081cd13b2ab272855a62,01/05/2012,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,31,175,175,350,37.7,Muy Bueno,Bueno
6742081cd13b2ab272855a6a,01/05/2012,Dióxido de nitrógeno,Urbana de Fondo,Ensanche de Vallecas,Este,22,16,14,30,28.666666666666668,Muy Bueno,Bueno
6742081cd13b2ab272855a6c,01/05/2012,Dióxido de nitrógeno,Urbana de Fondo,Farolillo,Sur,28,43,30,73,35.333333333333336,Muy Bueno,Bueno
6742081cd13b2ab272855a77,01/06/2012,Dióxido de nitrógeno,Suburbana,Juan Carlos I,Norte,14,9,8,17,22.333333333333332,Muy Bueno,Bueno
