_id;Mes;Magnitud;Tipo_Estacion;Estacion;Zona;Concentraciones_medias_mensuales;Muertes_hombre;Muertes_mujer;Muertes_totales;Total_Concentraciones_medias_mensuales;Indice_Calidad_Aire_CAQI;Indice_Calidad_Aire_Europeo;Umbrales_oms
6742081cd13b2ab27285679c;2013-08-01;Ozono;Urbana de Fondo;Plaza del Carmen;Interior M30;69;153;148;301;70.5;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab2728567c3;2013-11-01;Ozono;Suburbana;Juan Carlos I;Norte;37;9;8;17;34.25;Muy Bueno;Bueno;Normal
6742081cd13b2ab2728567d1;2013-12-01;Ozono;Suburbana;Juan Carlos I;Norte;29;10;9;19;25.75;Muy Bueno;Bueno;Normal
6742081cd13b2ab2728567da;2013-12-01;Ozono;Urbana de Fondo;Farolillo;Sur;21;44;32;76;18.33333333;Muy Bueno;Bueno;Normal
6742081cd13b2ab2728567e2;2014-01-01;Ozono;Urbana de Fondo;Plaza del Carmen;Interior M30;30;208;209;417;28.5;Muy Bueno;Bueno;Normal
6742081cd13b2ab2728567e8;2014-01-01;Ozono;Urbana de Fondo;Farolillo;Sur;41;50;35;85;34.33333333;Muy Bueno;Bueno;Normal
6742081cd13b2ab2728567ed;2014-02-01;Ozono;Suburbana;Juan Carlos I;Norte;37;8;12;20;40.75;Muy Bueno;Bueno;Normal
6742081cd13b2ab2728567f0;2014-02-01;Ozono;Urbana de Fondo;Plaza del Carmen;Interior M30;37;169;178;347;35.5;Muy Bueno;Bueno;Normal
6742081cd13b2ab2728567fe;2014-03-01;Ozono;Urbana de Fondo;Plaza del Carmen;Interior M30;46;185;172;357;46.25;Muy Bueno;Bueno;Normal
6742081cd13b2ab27285681f;2014-05-01;Ozono;Urbana de Fondo;Ensanche de Vallecas;Este;76;17;14;31;76;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856820;2014-05-01;Ozono;Urbana de Fondo;Farolillo;Sur;82;37;27;64;69.33333333;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856826;2014-06-01;Ozono;Suburbana;Casa de Campo;Oeste;87;11;12;23;84.5;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856828;2014-06-01;Ozono;Urbana de Fondo;Plaza del Carmen;Interior M30;80;163;152;315;71.75;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab27285682d;2014-06-01;Ozono;Urbana de Fondo;Ensanche de Vallecas;Este;80;18;13;31;80;Bueno;Razonablemente bueno;Normal
